region_id	source	1_Outer_cell_layer_nm	2_Nucleus	3_Trichocysts	4_Chloroplast	5_Plastoglobuli	6_Pusule	7_Food_vacuole	8_Starch	9_Crystalline_compartment	10_Large_vacuole	11_CBB/flagella	12_Symbiosis/parasitism/Prey/2=Kleptoplastidism	13_Reticulated_network	14_Electron_dense_sheets	15_Tubular_network	16_Rhabdosomes_and_alike_structure	17_eyespot/mt_array	19_Presumed_ID	18_NI_a_z	20_Area(nm^2)
0	VSM21_A1_AM1_001	2278	1	1	1	0	1	0	33	0	0	0	0	0	0	0	0	0	Prorocentrum	b,c	312130000000
1	VSM21_A1_AM1_002	1077	1	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	x	x	101860000000
2	VSM21_A1_AM1_003	861	1	1	1	2	0	1	0	1	0	0	0	0	0	0	0	0	x	g,r	534690000000
3	VSM21_A1_AM1_004	106	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	x	x	226610000000
4	VSM21_A1_AM1_005	2197	1	1	1	0	1	0	42	0	0	0	0	0	0	0	0	0	Prorocentrum	b,c	353890000000
5	VSM21_A1_AM1_006	1973	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	Triadinium_sphaericum_sp	d,e,f	429710000000
6	VSM21_A1_AM1_007	201	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	x	x	364410000000
7	VSM21_A1_AM1_008	958	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	Protoperidinium	p	537740000000
8	VSM21_A1_AM1_009	107	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Colony	x	25663000000
9	VSM21_A1_AM1_010	2564	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	x	x	120230000000
10	VSM21_A1_AM1_011	120	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	Heterocapsa	x	55893000000
11	VSM21_A1_AM1_012	398	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	x	x	341080000000
12	VSM21_A1_AM1_013	1552	1	1	1	0	1	0	14	0	0	0	0	0	0	0	0	0	Prorocentrum	b,c	287060000000
13	VSM21_A1_AM1_014	1057	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	x	i,r	187220000000
14	VSM21_A1_AM1_015	1701	0	1	1	0	1	0	9	0	1	0	0	0	0	0	0	0	Prorocentrum	b,c	124380000000
15	VSM21_A1_AM1_016	1839	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	1	Triadinium_sphaericum_sp	d,e,f	184840000000
16	VSM21_A1_AM1_017	123	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	x	g	420500000000
17	VSM21_A1_AM1_018	72	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	x	x	162060000000
18	VSM21_A1_AM1_019	2202	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	x	d,s	236590000000
19	VSM21_A1_AM1_020	704	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	Cyst	x	58726000000
20	VSM21_A1_AM1_021	125	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	x	x	215010000000
21	VSM21_A1_AM1_022	493	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Diatom	x	45403000000
22	VSM21_A1_AM1_023	23	1	1	1	26	0	0	0	0	0	1	0	0	0	0	0	1	x	x	149790000000
23	VSM21_A1_AM1_024	765	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	x	x	140290000000
24	VSM21_A1_AM1_025	306	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	x	x	130400000000
25	VSM21_A1_AM1_026	118	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	x	r	55901000000
26	VSM21_A1_AM1_027	974	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	x	i,r	113110000000
27	VSM21_A1_AM1_028	126	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	x	x	116780000000
28	VSM21_A1_AM1_029	85	1	1	0	0	0	0	0	1	0	0	1	0	1	1	0	0	x	x	63529000000
29	VSM21_A1_AM1_030	118	1	1	1	7	0	1	0	1	0	0	0	1	0	0	0	0	x	x	137730000000
30	VSM21_A1_AM1_031	943	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	x	i	253130000000
31	VSM21_A1_AM1_032	135	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	x	r	160480000000
32	VSM21_A1_AM1_033	1351	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	Pseudalatosphaera_corsica_sp	x	183570000000
33	VSM21_A1_AM1_034	1519	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	x	i	96057000000
34	VSM21_A1_AM1_035	716	1	0	1	1	0	0	13	1	0	0	0	0	0	0	0	0	Cyst	x	63308000000
35	VSM21_A1_AM1_036	50	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Diatom	x	8745700000
36	VSM21_A1_AM1_037	1822	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	Triadinium_sphaericum_sp	d,f	201150000000
37	VSM21_A1_AM1_038	1656	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	Triadinium_sphaericum_sp	d,e,f,r	397450000000
38	VSM21_A1_AM1_039	170	0	1	1	0	0	0	5	1	0	0	0	0	0	0	0	0	x	h,r	123510000000
39	VSM21_A1_AM1_040	250	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	Oxytoxum	x	36950000000
40	VSM21_A1_AM1_041	64	0	1	0	0	0	0	0	1	0	0	0	1	1	1	0	1	x	p	15704000000
41	VSM21_A1_AM1_042	119	1	1	0	0	0	0	0	0	1	1	0	0	1	1	0	0	x	r	114740000000
42	VSM21_A1_AM1_043	1092	0	1	1	0	0	0	3	0	1	0	0	0	0	0	0	0	Cyst	x	22993000000
43	VSM21_A1_AM1_044	162	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	1	x	g,r	375440000000
44	VSM21_A1_AM1_045	846	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Prorocentrum	a	32158000000
45	VSM21_A1_AM1_046	164	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	Protoperidinium	x	263540000000
46	VSM21_A1_AM1_047	403	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	x	x	235130000000
47	VSM21_A1_AM1_048	1798	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	Protoperidinium	r	173000000000
48	VSM21_A1_AM1_049	488	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	x	i	192990000000
49	VSM21_A1_AM1_050	51	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	x	g,r	468650000000
50	VSM21_A1_AM1_051	866	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Coccolitophore	x	41763000000
51	VSM21_A1_AM1_052	516	1	1	1	45	1	0	55	0	0	0	0	0	0	0	0	0	x	c	607560000000
52	VSM21_A1_AM1_053	1689	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	Cyst	x	22403000000
53	VSM21_A1_AM1_054	137	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	x	x	10845000000
54	VSM21_A1_AM1_055	47	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	1	Cochlodinium	m,s	396370000000
55	VSM21_A1_AM1_056	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	x	x	26232000000
56	VSM21_A1_AM1_057	86	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	x	x	11762000000
57	VSM21_A1_AM1_058	389	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	x	a,g	265960000000
58	VSM21_A1_AM1_059	2529	0	1	1	0	0	0	5	0	0	0	0	0	0	0	0	0	Prorocentrum	b,c	108560000000
59	VSM21_A1_AM1_060	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	x	x	6348900000
60	VSM21_A1_AM1_061	274	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	1	Prorocentrum	b,c	114030000000
61	VSM21_A1_AM1_062	305	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Diatom	x	98487000000
62	VSM21_A1_AM1_063	168	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	x	x	262580000000
