region_id	0_ID	imagePath	1_Outer_cell_layer(nm)	2_Nucleus	3_Trichocysts	4_Chloroplast	5_Plastoglobuli	6_Pusule	7_Food_vacuole	8_Starch	9_Crystalline_compartment	10_Large_vacuole	11_CBB/flagella	12_Symbiosis/parasitism/Prey/2=Kleptoplastidism	13_Reticulated_network	14_Electron_dense_sheets	15_Tubular_network	16_Rhabdosomes_and_alike_structure	17_eyespot/mt_array	19_Presumed_ID	18_NI_a_z	20_Area(nm^2)
29	VSM21_A2_PM1_030	images/VSM-A2-030.png	29	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	x	x	257310000000
30	VSM21_A2_PM1_031	images/VSM-A2-031.png	122	1	1	1	5	1	0	0	1	0	0	0	0	0	0	0	0	Prorocentrum	a	187750000000
31	VSM21_A2_PM1_032	images/VSM-A2-032.png	1463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Dinophysis	x	43871000000
32	VSM21_A2_PM1_033	images/VSM-A2-033.png	103	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	x	r,u	470230000000
33	VSM21_A2_PM1_034	images/VSM-A2-034.png	834	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	x	x	307350000000
34	VSM21_A2_PM1_035	images/VSM-A2-035.png	232	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	x	x	183870000000
35	VSM21_A2_PM1_036	images/VSM-A2-036.png	44	0	1	1	0	1	0	1	1	0	0	0	0	0	1	0	0	x	x	40594000000
36	VSM21_A2_PM1_037	images/VSM-A2-037.png	29	1	1	1	1	1	1	0	1	0	0	0	1	0	0	0	1	x	x	259350000000
37	VSM21_A2_PM1_038	images/VSM-A2-038.png	50	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	x	x	6648700000
38	VSM21_A2_PM1_039	images/VSM-A2-039.png	25	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	x	x	98774000000
39	VSM21_A2_PM1_040	images/VSM-A2-040.png	209	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	x	x	152600000000
40	VSM21_A2_PM1_041	images/VSM-A2-041.png	36	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	Diatom	x	63357000000
41	VSM21_A2_PM1_042	images/VSM-A2-042.png	54	1	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	x	x	67051000000
42	VSM21_A2_PM1_043	images/VSM-A2-043.png	697	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	Coccolitophore	x	49493000000
