region_id	0_ID	imagePath	1_Outer_cell_layer(nm)	2_Nucleus	3_Trichocysts	4_Chloroplast	5_Plastoglobuli	6_Pusule	7_Food_vacuole	8_Starch	9_Crystalline_compartment	10_Large_vacuole	11_CBB/flagella	12_Symbiosis/parasitism/Prey/2=Kleptoplastidism	13_Reticulated_network	14_Electron_dense_sheets	15_Tubular_network	16_Rhabdosomes_and_alike_structure	17_eyespot/mt_array	19_Presumed_ID	18_NI_a_z	20_Area(nm^2)
0	VSM21_A2_PM1_001	images/VSM-A2-001.png	240	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	x	x	172980000000
1	VSM21_A2_PM1_002	images/VSM-A2-002.png	9	1	1	1	20	0	0	0	0	0	0	2	0	0	0	0	0	x	b	498310000000
2	VSM21_A2_PM1_003	images/VSM-A2-003.png	1000	1	1	1	48	1	1	1	1	0	1	2	0	0	0	0	0	x	r	323580000000
3	VSM21_A2_PM1_004	images/VSM-A2-004.png	2391	0	1	1	10	0	0	1	0	0	0	0	0	0	0	0	0	Prorocentrum	c	246860000000
4	VSM21_A2_PM1_005	images/VSM-A2-005.png	945	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	x	i,r	96704000000
5	VSM21_A2_PM1_006	images/VSM-A2-006.png	1231	0	1	1	4	0	0	1	1	0	0	0	0	0	0	0	0	x	i,r	132160000000
6	VSM21_A2_PM1_007	images/VSM-A2-007.png	54	0	1	1	3	0	0	1	0	0	0	0	0	0	0	0	0	x	x	146140000000
7	VSM21_A2_PM1_008	images/VSM-A2-008.png	2249	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	Prorocentrum	a	315050000000
8	VSM21_A2_PM1_009	images/VSM-A2-009.png	10	1	1	1	4	1	0	0	0	1	0	0	0	0	0	0	0	Cochlodinium	u	1255800000000
9	VSM21_A2_PM1_010	images/VSM-A2-010.png	101	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	x	x	61752000000
10	VSM21_A2_PM1_011	images/VSM-A2-011.png	43	1	1	1	10	0	0	1	0	0	0	0	0	0	0	0	0	x	x	155350000000
11	VSM21_A2_PM1_012	images/VSM-A2-012.png	1728	1	1	0	0	1	0	0	0	1	0	0	0	1	1	0	1	Pseudalatosphaera_corsica_sp	x	656240000000
12	VSM21_A2_PM1_013	images/VSM-A2-013.png	3081	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	Prorocentrum	a	125570000000
13	VSM21_A2_PM1_014	images/VSM-A2-014.png	1752	0	1	1	13	1	1	1	1	1	0	0	0	0	0	0	1	Protoperidinium	g,r	432800000000
14	VSM21_A2_PM1_015	images/VSM-A2-015.png	2220	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	Triadinium_sphaericum_sp	d	115660000000
15	VSM21_A2_PM1_016	images/VSM-A2-016.png	585	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	x	x	36628000000
16	VSM21_A2_PM1_017	images/VSM-A2-017.png	59	1	1	1	8	0	1	1	0	0	0	0	0	0	0	0	0	x	g	184090000000
17	VSM21_A2_PM1_018	images/VSM-A2-018.png	1417	0	1	1	9	1	0	0	0	0	0	0	1	0	0	0	0	Triadinium_sphaericum_sp	d,r	235340000000
18	VSM21_A2_PM1_019	images/VSM-A2-019.png	576	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	x	x	337870000000
19	VSM21_A2_PM1_020	images/VSM-A2-020.png	63	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	x	r	191070000000
20	VSM21_A2_PM1_021	images/VSM-A2-021.png	581	1	1	1	8	0	0	0	1	0	0	0	0	1	0	0	0	x	q,r	112180000000
21	VSM21_A2_PM1_022	images/VSM-A2-022.png	232	1	1	1	0	0	1	0	1	0	1	1	1	0	0	0	0	Oxytoxum	j,r	56228000000
22	VSM21_A2_PM1_023	images/VSM-A2-023.png	1309	1	1	1	2	1	0	1	0	1	0	0	0	0	0	0	0	Prorocentrum	b,c	406280000000
23	VSM21_A2_PM1_024	images/VSM-A2-024.png	1555	0	1	1	8	0	0	0	0	1	0	0	1	0	0	0	0	Triadinium_sphaericum_sp	d,e,r	152710000000
24	VSM21_A2_PM1_025	images/VSM-A2-025.png	1383	1	1	1	2	1	0	0	0	0	0	0	1	0	0	0	0	Triadinium_sphaericum_sp	d,e,r	323660000000
25	VSM21_A2_PM1_026	images/VSM-A2-026.png	51	0	0	0	0	1	1	0	1	0	1	1	0	1	0	0	1	x	x	84920000000
26	VSM21_A2_PM1_027	images/VSM-A2-027.png	136	0	1	1	11	0	0	1	0	0	0	0	0	0	0	0	0	x	x	106690000000
27	VSM21_A2_PM1_028	images/VSM-A2-028.png	1101	1	1	1	3	1	1	0	0	0	0	0	1	0	0	0	1	Triadinium_sphaericum_sp	d,e,r,s	407750000000
28	VSM21_A2_PM1_029	images/VSM-A2-029.png	1106	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	x	i	37998000000
