region_id;0_ID;1_Outer_cell_layer(nm);2_Nucleus;3_Trichocysts;4_Chloroplast;5_Plastoglobuli;6_Pusule;7_Food_vacuole;8_Starch;9_Crystalline_compartment;10_Large_vacuole;11_CBB/flagella;12_Symbiosis/parasitism/Prey/2=Kleptoplastidism;13_Reticulated_network;14_Electron_dense_sheets;15_Tubular_network;16_Rhabdosomes_and_alike_structure;17_eyespot/mt_array;19_Presumed_ID;18_NI_a_z;20_Area(nm^2)
1;VSM20_A6_PM5_001;;0;1;0;0;0;0;5;1;0;1;0;0;0;0;0;0;NI;r;2,3679E+10
2;VSM20_A6_PM5_002;;1;1;1;13;0;1;0;0;0;0;0;0;0;0;0;0;NI;l;8,2516E+11
3;VSM20_A6_PM5_003;;1;1;1;2;1;0;3;0;0;0;0;0;0;0;0;0;Prorocentrum_sp;a,r;2,7987E+11
4;VSM20_A6_PM5_004;;0;0;1;11;0;0;11;1;0;0;0;0;0;0;0;0;Prorocentrum_sp;x;9,8341E+10
5;VSM20_A6_PM5_005;;0;1;1;10;0;0;2;1;0;1;0;0;0;0;0;0;Oxytoxum_sp;j;6,4643E+10
6;VSM20_A6_PM5_006;;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;NI;r;5,4048E+10
7;VSM20_A6_PM5_007;;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;Triadinium_sphaericum_sp;d,e,f,r;3,6126E+11
8;VSM20_A6_PM5_008;;1;1;1;9;0;0;9;0;0;0;0;0;1;0;0;0;Paleophalacroma_sp;w;1,9757E+11
9;VSM20_A6_PM5_009;;1;1;0;0;1;0;1;0;0;0;0;1;0;0;0;1;Triadinium_sphaericum_sp;d,o,r;5,1391E+11
10;VSM20_A6_PM5_010;;1;1;1;26;0;0;0;0;0;0;0;1;0;0;0;0;Species_FIB;w;2,0039E+11
11;VSM20_A6_PM5_011;;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;Protoperidinium_sp;p;4,8664E+11
12;VSM20_A6_PM5_012;;0;1;0;0;1;1;0;0;0;0;0;1;1;0;0;0;Pseudalatosphaera_corsica_sp;x;3,0669E+11
13;VSM20_A6_PM5_013;;0;1;1;6;0;0;3;0;0;1;0;1;0;0;0;1;NI;x;5,7625E+10
14;VSM20_A6_PM5_014;;1;1;1;3;0;1;4;0;0;0;0;1;0;0;0;0;Paleophalacroma_sp;w;1,9945E+11
15;VSM20_A6_PM5_015;;1;1;1;4;0;0;13;0;0;0;0;1;0;0;0;0;Prorocentrum_sp;x;1,8007E+11
16;VSM20_A6_PM5_016;;0;1;1;1;0;0;3;1;0;0;0;0;0;0;0;0;Prorocentrum_sp;x;6,2281E+10
17;VSM20_A6_PM5_017;;1;1;0;0;0;1;28;0;0;1;0;1;0;1;0;0;NI;x;1,4518E+11
18;VSM20_A6_PM5_018;;1;1;1;11;0;0;34;0;0;0;0;1;0;0;0;0;Prorocentrum_sp;x;2,6005E+11
19;VSM20_A6_PM5_019;;1;1;1;5;0;0;18;0;0;0;0;0;0;0;0;0;Triadinium_sphaericum_sp;d,e,r;5,1155E+11
20;VSM20_A6_PM5_020;;1;1;0;0;1;0;0;0;0;0;0;1;1;1;0;0;NI;x;1,7744E+11
21;VSM20_A6_PM5_021;;1;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;NI;r,u;2,7302E+11
22;VSM20_A6_PM5_022;;0;0;1;2;0;0;0;0;0;0;0;1;0;0;0;0;Triadinium_sphaericum_sp;x;5,1206E+10
23;VSM20_A6_PM5_023;;1;1;1;4;0;1;3;1;0;1;0;0;0;0;0;0;NI;r;1,4428E+11
24;VSM20_A6_PM5_024;;1;0;1;5;1;1;16;0;0;0;0;1;0;0;0;0;Prorocentrum_sp;b;2,3019E+11
25;VSM20_A6_PM5_025;;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;NI;r;4,6887E+10
26;VSM20_A6_PM5_026;;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;NI;x;5,7570E+11
27;VSM20_A6_PM5_027;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;NI;x;4,4045E+10
28;VSM20_A6_PM5_028;;0;1;1;13;0;1;11;1;0;0;0;0;0;0;0;0;NI;x;3,3940E+11
29;VSM20_A6_PM5_029;;1;1;0;0;1;0;0;0;0;1;0;1;1;1;0;0;NI;p;3,6112E+11
30;VSM20_A6_PM5_030;;1;1;1;6;0;0;0;1;0;0;1;0;0;0;0;0;NI;r;1,0351E+11
31;VSM20_A6_PM5_031;;1;1;1;7;0;0;28;0;0;0;0;1;0;0;0;0;Prorocentrum_sp;x;2,1175E+11
32;VSM20_A6_PM5_032;;1;1;1;35;0;0;8;0;0;0;0;1;1;0;0;0;Ni;r;2,9544E+11
33;VSM20_A6_PM5_033;;0;1;1;7;1;1;16;0;0;0;0;1;0;0;0;0;NI;a,b,r;1,5035E+11
34;VSM20_A6_PM5_034;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Ciliate;x;2,0967E+07
35;VSM20_A6_PM5_035;;0;1;0;0;0;0;5;0;0;0;0;1;0;0;0;0;Paleophalacroma_sp;w;5,6606E+10
36;VSM20_A6_PM5_036;;0;1;0;0;0;0;7;0;0;0;1;1;1;0;0;0;NI;x;4,4254E+11
37;VSM20_A6_PM5_037;;1;1;1;10;1;0;22;0;0;1;0;1;0;0;0;0;Prorocentrum_sp;b;3,6442E+11
