0_ID;imagePath;1_Outer_cell_layer(nm);2_Nucleus;3_Trichocysts;4_Chloroplast;5_Plastoglobuli;6_Pusule;7_Food_vacuole;8_Starch;9_Crystalline_compartment;10_Large_vacuole;11_CBB/flagella;12_Symbiosis/parasitism/Prey/2=Kleptoplastidism;13_Reticulated_network;14_Electron_dense_sheets;15_Tubular_network;16_Rhabdosomes_and_alike_structure;17_eyespot/mt_array;19_Presumed_ID;18_NI_a_z;a;b;c;d;e;f;g;h;i;j;k;l;m;n;o;p;q;r;s;t;u;v;w;x;y;z;20_Area(nm^2)
VSM21-A3-AM2-001;images/VSM-A3-001.png;195;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;x;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;34548123318
VSM21-A3-AM2-002;images/VSM-A3-002.png;41;1;1;1;1;0;1;0;0;1;0;0;0;0;0;0;0;x;g;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202215619936
VSM21-A3-AM2-003;images/VSM-A3-003.png;98;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;x;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;118850128553
VSM21-A3-AM2-004;images/VSM-A3-004.png;191;1;1;1;0;0;0;1;1;0;1;0;0;0;0;0;0;x;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;53272596878
VSM21-A3-AM2-005;images/VSM-A3-005.png;149;0;1;1;6;0;0;0;0;0;0;0;0;0;0;0;0;x;i;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39223304823
VSM21-A3-AM2-006;images/VSM-A3-006.png;56;0;1;1;18;1;0;1;0;1;0;0;0;0;0;0;0;x;r;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;531969249726
VSM21-A3-AM2-007;images/VSM-A3-007.png;1466;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;Prorocentrum;a,r;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;355083701045
VSM21-A3-AM2-008;images/VSM-A3-008.png;44;1;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;x;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;164504292531
VSM21-A3-AM2-009;images/VSM-A3-009.png;59;0;1;1;2;0;1;0;1;0;0;0;0;0;0;0;0;x;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;124466582405
VSM21-A3-AM2-010;images/VSM-A3-010.png;155;0;1;0;0;1;1;0;0;1;0;0;0;1;1;0;1;x;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;169984407289
VSM21-A3-AM2-011;images/VSM-A3-011.png;42;0;1;0;0;0;1;1;0;0;0;1;1;1;0;0;0;x;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;287353418430
VSM21-A3-AM2-012;images/VSM-A3-012.png;44;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;x;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;162301288039
VSM21-A3-AM2-013;images/VSM-A3-013.png;28;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;x;h;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;133541272798
VSM21-A3-AM2-014;images/VSM-A3-014.png;18;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;x;a,r;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;148363587522
VSM21-A3-AM2-015;images/VSM-A3-015.png;73;1;1;0;0;0;1;0;0;0;0;1;1;0;1;0;0;x;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;137203894383
VSM21-A3-AM2-016;images/VSM-A3-016.png;579;1;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;Prorocentrum;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;104055499631
VSM21-A3-AM2-017;images/VSM-A3-017.png;290;1;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;x;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;210059466282
VSM21-A3-AM2-018;images/VSM-A3-018.png;32;1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;x;r;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;126046864204
VSM21-A3-AM2-019;images/VSM-A3-019.png;94;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;x;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;116995275277
VSM21-A3-AM2-020;images/VSM-A3-020.png;289;1;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;x;r;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;199590288973
VSM21-A3-AM2-021;images/VSM-A3-021.png;143;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;Cochlodinium;u,r;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;283906637116
