region_id;0_ID;1_Outer_cell_layer(nm);2_Nucleus;3_Trichocysts;4_Chloroplast;5_Plastoglobuli;6_Pusule;7_Food_vacuole;8_Starch;9_Crystalline_compartment;10_Large_vacuole;11_CBB/flagella;12_Symbiosis/parasitism/Prey/2=Kleptoplastidism;13_Reticulated_network;14_Electron_dense_sheets;15_Tubular_network;16_Rhabdosomes_and_alike_structure;17_eyespot/mt_array;19_Presumed_ID;18_NI_a_z;20_Area(nm^2)
1;VSM20_A5_AM2_001;;1;1;1;2;0;0;0;0;0;1;0;1;0;0;0;1;Triadinium_sphaericum_sp;d,f,r;2,4743E+11
2;VSM20_A5_AM2_002;;1;1;1;0;0;0;2;1;0;0;0;0;0;0;0;0;NI;p,r;6,9151E+10
3;VSM20_A5_AM2_003;;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;NI;p,r;1,1464E+11
4;VSM20_A5_AM2_004;;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;NI;r;1,2053E+11
5;VSM20_A5_AM2_005;;1;1;1;2;0;0;0;0;0;0;1;1;0;0;0;0;NI;a;9,7292E+10
6;VSM20_A5_AM2_006;;0;1;1;6;1;1;0;0;0;0;0;1;0;0;0;0;Prorocentrum_sp;a;2,3054E+11
7;VSM20_A5_AM2_007;;1;1;0;0;1;0;0;0;0;0;0;1;1;1;0;0;NI;r;2,1196E+11
8;VSM20_A5_AM2_008;;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;1;Prorocentrum_sp;a,b;2,3911E+11
9;VSM20_A5_AM2_009;;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;NI;l,u;5,4613E+11
10;VSM20_A5_AM2_010;;0;1;1;1;0;0;2;0;0;0;0;1;0;0;0;1;NI;g,h,r;4,8955E+11
11;VSM20_A5_AM2_011;;1;1;0;0;0;0;9;0;0;0;0;1;0;1;0;0;NI;p;4,8183E+11
12;VSM20_A5_AM2_012;;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;NI;x;1,7419E+11
13;VSM20_A5_AM2_013;;1;1;0;0;0;0;0;0;0;1;0;1;1;1;0;0;NI;r;2,9639E+11
14;VSM20_A5_AM2_014;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;NI;x;6,2584E+10
15;VSM20_A5_AM2_015;;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;Prorocentrum_sp;a,r,v;8,8401E+10
16;VSM20_A5_AM2_016;;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;NI;p,g,h;2,3098E+11
17;VSM20_A5_AM2_017;;1;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;Protoperidinium_sp;x;1,7681E+11
18;VSM20_A5_AM2_018;;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Oxytoxum_sp;j,r;2,8005E+10
19;VSM20_A5_AM2_019;;1;1;1;6;1;1;0;0;0;0;0;1;0;0;0;0;Prorocentrum_sp;a;2,2008E+11
20;VSM20_A5_AM2_020;;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;NI;l,u;4,3278E+11
21;VSM20_A5_AM2_021;;1;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;Triadinium_sphaericum_sp;r;2,5515E+11
22;VSM20_A5_AM2_022;;0;1;0;0;0;0;4;1;0;0;0;0;1;0;0;0;NI;x;1,1012E+11
23;VSM20_A5_AM2_023;;1;1;0;0;0;0;0;1;0;1;0;1;1;0;0;0;NI;r;8,9543E+10
24;VSM20_A5_AM2_024;;1;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;Prorocentrum_sp;a;1,3454E+11
25;VSM20_A5_AM2_025;;1;1;0;0;1;0;0;0;1;0;0;0;1;1;0;0;Protoperidinium_sp;x;2,7097E+11
26;VSM20_A5_AM2_026;;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;Protoperidinium_sp;x;2,4408E+11
27;VSM20_A5_AM2_027;;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;Oxytoxum_sp;j,r;3,1968E+10
28;VSM20_A5_AM2_028;;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;NI;r;3,0276E+10
29;VSM20_A5_AM2_029;;1;1;0;0;0;0;8;0;0;0;0;0;1;1;0;0;NI;x;1,3676E+11
30;VSM20_A5_AM2_030;;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;NI;r;9,6695E+10
31;VSM20_A5_AM2_031;;1;1;0;0;0;0;0;1;0;0;0;1;1;1;0;0;NI;r;9,1929E+10
32;VSM20_A5_AM2_032;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Diatom;x;0,0000E+00
33;VSM20_A5_AM2_033;;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;NI;l;1,9183E+11
34;VSM20_A5_AM2_034;;1;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;NI;g,h;2,5718E+11
35;VSM20_A5_AM2_035;;1;0;0;0;0;0;16;0;0;0;0;1;0;0;0;0;NI;x;2,4675E+11
36;VSM20_A5_AM2_036;;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;NI;x;5,1530E+10
37;VSM20_A5_AM2_037;;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;Protoperidinium_sp;x;4,4340E+11
38;VSM20_A5_AM2_038;;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;Protoperidinium_sp;p;4,4254E+11
39;VSM20_A5_AM2_039;;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;NI;x;4,9189E+10
40;VSM20_A5_AM2_040;;1;1;1;3;1;0;33;0;0;0;0;1;0;0;0;0;Prorocentrum_sp;b;4,3919E+11
41;VSM20_A5_AM2_041;;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;NI;g;9,9589E+10
42;VSM20_A5_AM2_042;;0;1;1;0;1;0;4;0;0;0;0;1;0;0;0;0;NI;l;5,4650E+11
43;VSM20_A5_AM2_043;;1;1;0;0;0;0;6;1;0;0;0;0;0;0;0;0;NI;unknown;2,0266E+11
44;VSM20_A5_AM2_044;;1;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;NI;x;1,0589E+11
45;VSM20_A5_AM2_045;;1;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;Prorocentrum_sp;a;1,6244E+11
46;VSM20_A5_AM2_046;;1;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;NI;x;2,2914E+11
47;VSM20_A5_AM2_047;;1;1;1;1;0;0;2;0;0;0;0;1;0;0;0;0;NI;r;7,8819E+10
48;VSM20_A5_AM2_048;;1;1;0;0;0;0;1;0;0;0;0;1;1;1;0;0;NI;x;2,5289E+11
49;VSM20_A5_AM2_049;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sclerocyte;x;0,0000E+00
50;VSM20_A5_AM2_050;;1;1;1;0;0;0;2;1;0;1;0;0;0;0;0;0;NI;x;2,9550E+10
