region_id;0_ID;1_Outer_cell_layer(nm);2_Nucleus;3_Trichocysts;4_Chloroplast;5_Plastoglobuli;6_Pusule;7_Food_vacuole;8_Starch;9_Crystalline_compartment;10_Large_vacuole;11_CBB/flagella;12_Symbiosis/parasitism/Prey/2=Kleptoplastidism;13_Reticulated_network;14_Electron_dense_sheets;15_Tubular_network;16_Rhabdosomes_and_alike_structure;17_eyespot/mt_array;19_Presumed_ID;18_NI_a_z;20_Area(nm^2)
1;VSM20_A3_AM2_001;;0;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;Triadinium_sphaericum_sp;r;1,4395E+11
2;VSM20_A3_AM2_002;;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;Corythodinium_sp;j;2,8994E+11
3;VSM20_A3_AM2_003;;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;NI;r;6,9493E+10
4;VSM20_A3_AM2_004;;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;NI;x;7,0067E+10
5;VSM20_A3_AM2_005;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;Prorocentrum_sp;p;7,3307E+10
6;VSM20_A3_AM2_006;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;NI;p;1,1802E+11
7;VSM20_A3_AM2_007;;1;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;NI;m;3,8934E+11
8;VSM20_A3_AM2_008;;1;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;NI;x;1,4558E+11
9;VSM20_A3_AM2_009;;1;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;NI;x;2,6789E+11
10;VSM20_A3_AM2_010;;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;NI;r;6,6014E+10
11;VSM20_A3_AM2_011;;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;NI;x;5,0381E+11
12;VSM20_A3_AM2_012;;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;NI;r;2,4832E+10
13;VSM20_A3_AM2_013;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Ciliate;x;0,0000E+00
14;VSM20_A3_AM2_014;;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;Podolompas_sp;r;2,7196E+11
15;VSM20_A3_AM2_015;;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;Prymnesiophyceae;x;0,0000E+00
16;VSM20_A3_AM2_016;;1;1;0;0;1;0;0;0;0;0;0;1;1;1;0;0;Protoperidinium_sp;r;2,1584E+11
17;VSM20_A3_AM2_017;;1;1;0;0;1;0;0;0;0;1;0;0;1;1;0;0;Protoperidinium_sp;x;2,3874E+11
18;VSM20_A3_AM2_018;;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;NI;h,p,r;9,4895E+10
19;VSM20_A3_AM2_019;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Colony;x;0,0000E+00
20;VSM20_A3_AM2_020;;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;NI;r;3,3462E+11
21;VSM20_A3_AM2_021;;1;1;0;0;1;0;0;0;0;0;0;1;1;1;0;0;Protoperidinium_sp;p;5,9992E+11
22;VSM20_A3_AM2_022;;0;1;1;0;;0;2;1;0;0;0;0;0;0;0;0;Prorocentrum_sp;r;1,5261E+11
23;VSM20_A3_AM2_023;;0;1;1;0;0;0;16;0;1;0;0;1;0;0;0;0;Prorocentrum_sp;x;3,3690E+11
24;VSM20_A3_AM2_024;;1;1;1;0;1;0;0;0;0;1;0;1;0;0;0;0;NI;x;1,8977E+11
25;VSM20_A3_AM2_025;;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;Corythodinium_sp;j;3,8758E+11
