region_id;0_ID;1_Outer_cell_layer(nm);2_Nucleus;3_Trichocysts;4_Chloroplast;5_Plastoglobuli;6_Pusule;7_Food_vacuole;8_Starch;9_Crystalline_compartment;10_Large_vacuole;11_CBB/flagella;12_Symbiosis/parasitism/Prey/2=Kleptoplastidism;13_Reticulated_network;14_Electron_dense_sheets;15_Tubular_network;16_Rhabdosomes_and_alike_structure;17_eyespot/mt_array;19_Presumed_ID;18_NI_a_z;20_Area(nm^2)
1;VSM20_A4_PM5_001;;0;1;0;0;1;0;0;0;0;0;0;1;1;1;0;0;Protoperidinium_sp;r;2,3467E+11
2;VSM20_A4_PM5_002;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NI;x;1,3403E+10
3;VSM20_A4_PM5_003;;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Prorocentrum_sp;x;5,7344E+11
4;VSM20_A4_PM5_004;;1;1;0;0;0;0;0;0;0;0;0;1;1;1;1;0;Pseudalatosphaera_corsica_sp;x;2,9127E+10
5;VSM20_A4_PM5_005;;1;1;0;0;1;0;0;0;0;0;0;1;1;1;0;0;Protoperidinium_sp;x;6,9798E+11
6;VSM20_A4_PM5_006;;1;1;0;0;1;0;0;0;0;0;0;1;1;1;0;0;Protoperidinium_sp;p;7,1391E+11
7;VSM20_A4_PM5_007;;1;1;1;4;0;0;0;1;0;0;0;0;0;0;0;0;NI;p;5,1811E+11
8;VSM20_A4_PM5_008;;1;0;1;4;0;0;5;0;0;0;0;1;0;0;0;0;NI;x;3,9911E+10
9;VSM20_A4_PM5_009;;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;NI;x;4,5190E+10
10;VSM20_A4_PM5_010;;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;NI;r;1,0684E+11
11;VSM20_A4_PM5_011;;0;1;1;12;0;0;7;1;0;0;0;0;0;0;0;0;Prorocentrum_sp;x;1,4106E+11
12;VSM20_A4_PM5_012;;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;NI;p;3,2928E+11
13;VSM20_A4_PM5_013;;1;1;1;3;0;0;6;1;0;0;0;0;0;0;0;0;Prorocentrum_sp;a,b;2,4564E+11
14;VSM20_A4_PM5_014;;0;0;0;0;0;0;11;1;0;0;0;0;0;0;0;0;Prymnesiophyceae;x;2,7420E+10
15;VSM20_A4_PM5_015;;0;1;0;0;1;0;0;0;0;0;0;1;1;1;0;0;Pseudalatosphaera_corsica_sp;x;1,7739E+11
16;VSM20_A4_PM5_016;;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;NI;x;3,3964E+11
17;VSM20_A4_PM5_017;;0;1;1;9;0;0;32;0;0;0;0;1;0;0;0;0;Prorocentrum_sp;x;2,5342E+11
