0_ID;imagePath;1_Outer_cell_layer(nm);2_Nucleus;3_Trichocysts;4_Chloroplast;5_Plastoglobuli;6_Pusule;7_Food_vacuole;8_Starch;9_Crystalline_compartment;10_Large_vacuole;11_CBB/flagella;12_Symbiosis/parasitism/Prey/2=Kleptoplastidism;13_Reticulated_network;14_Electron_dense_sheets;15_Tubular_network;16_Rhabdosomes_and_alike_structure;17_eyespot/mt_array;19_Presumed_ID;18_NI_a_z;a;b;c;d;e;f;g;h;i;j;k;l;m;n;o;p;q;r;s;t;u;v;w;x;y;z;20_Area(nm^2)
VSM21-A5-PM3-001;images/VSM-A5-001.png;1502;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;reco_2;i;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60933024781
VSM21-A5-PM3-002;images/VSM-A5-002.png;1286;1;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;Cyst;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;67379704396
VSM21-A5-PM3-003;images/VSM-A5-003.png;31;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;x;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;158526423221
VSM21-A5-PM3-004;images/VSM-A5-004.png;1532;1;1;1;3;0;0;1;1;0;0;0;0;0;0;0;0;Cyst;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;108789041549
VSM21-A5-PM3-005;images/VSM-A5-005.png;1520;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;Cyst;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;49446731306
VSM21-A5-PM3-006;images/VSM-A5-006.png;142;1;1;1;1;0;1;0;1;0;0;0;0;0;1;0;0;x;r;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;137738610156
VSM21-A5-PM3-007;images/VSM-A5-007.png;312;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;x;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;119363473224
VSM21-A5-PM3-008;images/VSM-A5-008.png;64;1;0;1;1;0;0;0;1;1;0;0;1;0;0;0;0;x;r;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;29530869339
VSM21-A5-PM3-009;images/VSM-A5-009.png;20;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;reco_2;r;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;82011358997
VSM21-A5-PM3-010;images/VSM-A5-010.png;1534;0;0;1;2;0;0;0;0;0;0;1;0;0;0;0;0;x;i;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49335948768
VSM21-A5-PM3-011;images/VSM-A5-011.png;175;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;x;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;77989557942
VSM21-A5-PM3-012;images/VSM-A5-012.png;213;1;1;1;1;1;0;1;0;0;1;0;1;0;0;0;0;x;i;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;132826593688
VSM21-A5-PM3-013;images/VSM-A5-013.png;168;1;1;0;7;1;0;0;0;1;0;1;0;0;0;0;0;reco_1;t;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;903101064523
VSM21-A5-PM3-014;images/VSM-A5-014.png;1086;1;1;1;4;0;0;1;0;1;0;0;0;0;0;0;0;Prorocentrum;b;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;175057510409
VSM21-A5-PM3-015;images/VSM-A5-015.png;992;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;Prorocentrum;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;210207007790
VSM21-A5-PM3-016;images/VSM-A5-016.png;584;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Diatom;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;52773364776
VSM21-A5-PM3-017;images/VSM-A5-017.png;1406;1;1;1;4;1;0;1;0;0;0;0;0;0;0;0;0;x;r;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;315164256713
VSM21-A5-PM3-018;images/VSM-A5-018.png;1089;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;x;i;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;642275184496
VSM21-A5-PM3-019;images/VSM-A5-019.png;96;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;Cochlodinium;m;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;655378187275
VSM21-A5-PM3-020;images/VSM-A5-020.png;1250;1;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;x;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;108436755440
VSM21-A5-PM3-021;images/VSM-A5-021.png;2217;1;1;1;2;1;0;1;0;0;0;0;0;0;0;0;0;Prorocentrum;a,r;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;319692076487
VSM21-A5-PM3-022;images/VSM-A5-022.png;25;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;x;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;75252966907
VSM21-A5-PM3-023;images/VSM-A5-023.png;98;1;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;x;a,b;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;83198213629
VSM21-A5-PM3-024;images/VSM-A5-024.png;436;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;Prorocentrum;a;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86516307646
VSM21-A5-PM3-025;images/VSM-A5-025.png;954;0;0;1;2;0;0;1;0;1;0;0;0;0;0;0;0;Cyst;r;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;65998537901
VSM21-A5-PM3-026;images/VSM-A5-026.png;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;x;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;19949626511
VSM21-A5-PM3-027;images/VSM-A5-027.png;281;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;x;s;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;138472845734
VSM21-A5-PM3-028;images/VSM-A5-028.png;28;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;x;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;30735050070
VSM21-A5-PM3-029;images/VSM-A5-029.png;41;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;x;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;549196043832
VSM21-A5-PM3-030;images/VSM-A5-030.png;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;x;c;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15011390554
VSM21-A5-PM3-031;images/VSM-A5-031.png;1092;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Destroyed_Dinophysis_Cyano;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;89289859902
VSM21-A5-PM3-032;images/VSM-A5-032.png;1177;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;Diatom;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;768581400850
