0_ID;imagePath;1_Outer_cell_layer(nm);2_Nucleus;3_Trichocysts;4_Chloroplast;5_Plastoglobuli;6_Pusule;7_Food_vacuole;8_Starch;9_Crystalline_compartment;10_Large_vacuole;11_CBB/flagella;12_Symbiosis/parasitism/Prey/2=Kleptoplastidism;13_Reticulated_network;14_Electron_dense_sheets;15_Tubular_network;16_Rhabdosomes_and_alike_structure;17_eyespot/mt_array;19_Presumed_ID;18_NI_a_z;a;b;c;d;e;f;g;h;i;j;k;l;m;n;o;p;q;r;s;t;u;v;w;x;y;z;20_Area(nm^2)
VSM21-A4-PM2-001;images/VSM-A4-001.png;157;1;1;1;0;0;1;1;0;0;1;0;0;0;0;0;0;x;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;95311426488
VSM21-A4-PM2-002;images/VSM-A4-002.png;309;1;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;x;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;207122793636
VSM21-A4-PM2-003;images/VSM-A4-003.png;1072;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;x;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;544973835319
VSM21-A4-PM2-004;images/VSM-A4-004.png;1045;1;1;1;4;0;0;0;0;0;0;0;1;0;0;0;0;Triadinium_sphaericum_sp;d,q,r;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;421184768552
VSM21-A4-PM2-005;images/VSM-A4-005.png;170;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;reco_1;t;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;652152021583
VSM21-A4-PM2-006;images/VSM-A4-006.png;1945;0;1;1;5;0;0;1;0;0;0;0;0;0;0;0;0;Prorocentrum;b,c;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;267414044880
VSM21-A4-PM2-007;images/VSM-A4-007.png;846;1;1;1;8;0;0;0;0;0;0;0;1;0;0;0;0;Triadinium_sphaericum_sp;d,o,r;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;575533028855
VSM21-A4-PM2-008;images/VSM-A4-008.png;2495;1;1;1;3;1;1;0;0;0;0;0;0;0;0;1;0;Prorocentrum;a,r;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;461489544426
VSM21-A4-PM2-009;images/VSM-A4-009.png;653;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;Dinophysis;p;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;317085745805
VSM21-A4-PM2-010;images/VSM-A4-010.png;484;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;x;a,r;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;114791546055
VSM21-A4-PM2-011;images/VSM-A4-011.png;34;1;1;1;3;0;0;1;0;0;1;0;0;0;0;0;1;x;g,r;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;529782975818
VSM21-A4-PM2-012;images/VSM-A4-012.png;55;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;x;r;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;92881806285
VSM21-A4-PM2-013;images/VSM-A4-013.png;166;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;reco_1;t;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;806475938830
VSM21-A4-PM2-014;images/VSM-A4-014.png;1283;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;Prorocentrum;a,r;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;460875108372
VSM21-A4-PM2-015;images/VSM-A4-015.png;1178;0;1;0;0;0;1;0;0;0;0;0;1;1;0;1;0;Pseudalatosphaera_corsica_sp;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;201078867169
VSM21-A4-PM2-016;images/VSM-A4-016.png;1456;1;1;1;0;1;1;1;0;1;0;0;0;0;0;0;0;Prorocentrum;c;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;232101325984
VSM21-A4-PM2-017;images/VSM-A4-017.png;154;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;x;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;272423534700
VSM21-A4-PM2-018;images/VSM-A4-018.png;160;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;reco_1;t;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;751762545362
VSM21-A4-PM2-019;images/VSM-A4-019.png;235;1;1;0;0;1;0;0;0;0;0;0;1;1;1;0;1;x;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;232472898895
VSM21-A4-PM2-020;images/VSM-A4-020.png;135;1;1;0;0;1;0;0;0;1;0;0;0;1;1;0;0;x;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;211873678507
