0_ID;imagePath;1_Outer_cell_layer(nm);2_Nucleus;3_Trichocysts;4_Chloroplast;5_Plastoglobuli;6_Pusule;7_Food_vacuole;8_Starch;9_Crystalline_compartment;10_Large_vacuole;11_CBB/flagella;12_Symbiosis/parasitism/Prey/2=Kleptoplastidism;13_Reticulated_network;14_Electron_dense_sheets;15_Tubular_network;16_Rhabdosomes_and_alike_structure;17_eyespot/mt_array;19_Presumed_ID;18_NI_a_z;a;b;c;d;e;f;g;h;i;j;k;l;m;n;o;p;q;r;s;t;u;v;w;x;y;z;20_Area(nm^2)
VSM21-A6-AM3-001;images/VSM-A6-001.png;1316;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;1;x;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;610285700143
VSM21-A6-AM3-002;images/VSM-A6-002.png;865;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;Protoperidinium;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;349073971713
VSM21-A6-AM3-003;images/VSM-A6-003.png;402;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;x;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;309112144731
VSM21-A6-AM3-004;images/VSM-A6-004.png;361;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Prorocentrum;a;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;109603654721
VSM21-A6-AM3-005;images/VSM-A6-005.png;65;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;x;d,r;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;119929858005
VSM21-A6-AM3-006;images/VSM-A6-006.png;468;0;1;0;0;0;0;1;0;0;0;0;1;1;1;0;0;x;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;308580518891
VSM21-A6-AM3-007;images/VSM-A6-007.png;221;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;x;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;125542154492
VSM21-A6-AM3-008;images/VSM-A6-008.png;65;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Diatom;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;732269672797
VSM21-A6-AM3-009;images/VSM-A6-009.png;865;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;x;i,r;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;150680217290
VSM21-A6-AM3-010;images/VSM-A6-010.png;37;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;x;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;148670384194
